title,author,link
Unpacking The Invisible Knapsack,Peggy McInstosh,https://www.racialequitytools.org/resourcefiles/mcintosh.pdf
The Case for Reparations,Ta-Nehisi Coates,https://www.theatlantic.com/magazine/archive/2014/06/the-case-for-reparations/361631/
You shouldn’t need a Harvard degree to survive birdwatching while black,Samuel Getachew,https://www.washingtonpost.com/outlook/2020/05/28/christian-cooper-harvard-birdwatching/
Our democracy’s founding ideals were false when they were written. Black Americans have fought to make them true.,Nikole Hannah-Jones,https://www.nytimes.com/interactive/2019/08/14/magazine/black-history-american-democracy.html
The 1619 Project,Various - NYT,https://www.nytimes.com/interactive/2019/08/14/magazine/1619-america-slavery.html
When It Works To 'Defund The Police',Nicholas Kristof,https://www.nytimes.com/2020/06/10/opinion/defund-police-floyd-protests.html
What Exactly Does It Mean to Defund the Police?,Amanda Arnold,https://www.thecut.com/2020/06/what-does-defund-the-police-mean-the-phrase-explained.html
Non-Black People of Color Need to Start Having Conversations About The Anti-Blackness In Our Communities,Sharon Park,https://www.dosomething.org/us/articles/our-role-as-non-black-people-of-color-in-disrupting-racism
Explained: The Protests For Racial Justice,DoSomething.Org,https://www.dosomething.org/us/articles/explained-the-protests-for-racial-justice
What Is An Ally? 7 Ways To Be One At Work,Better Allies,https://www.themuse.com/advice/what-is-an-ally-7-examples
Guide to Allyship,guidetoallyship.com,https://guidetoallyship.com/
What Happened to Crime in Camden? ,Sarah Holder,https://www.citylab.com/equity/2018/01/what-happened-to-crime-in-camden/549542/
The Struggle to Abolish the Police Is Not New,Garrett Felber,http://bostonreview.net/race/garrett-felber-struggle-abolish-police-not-new
My Life As An Undocumented Immigrant,By Jose Antonio Vargas,https://www.nytimes.com/2011/06/26/magazine/my-life-as-an-undocumented-immigrant.html
Answering White People’s Most Commonly Asked Questions about the Black Lives Matter Movement,Courtney Martin,https://thebolditalic.com/where-do-i-donate-why-is-the-uprising-violent-should-i-go-protest-5cefeac37ef9
Who Gets to Be Afraid in America?,Ibram X. Kendi,https://www.theatlantic.com/ideas/archive/2020/05/ahmaud-arbery/611539/
How White Parents Can Talk To Their Kids About Race,Michael Martin,https://www.npr.org/2020/06/03/869071246/how-white-parents-can-talk-to-their-kids-about-race
"My Father Stood For The Anthem, For The Same Reason That Colin Kaepernick Sits",Keith Woods,https://www.npr.org/sections/codeswitch/2018/05/23/589343378/my-father-stood-for-the-anthem-for-the-same-reason-that-colin-kaepernick-sits
When Calling The Po-Po Is a No-No,Karen Grigsby Bates,https://www.npr.org/sections/codeswitch/2018/07/14/628899391/when-calling-the-po-po-is-a-no-no
